x,w,t,id,y
0.94723159,0.68371642,0,1,2.6434925
0.052223373,-0.040791851,1,1,-1.2705897
0.97431827,-0.62597185,1,2,0.78252536
0.94574839,0.85757059,1,2,3.8545835
0.18564783,0.72475618,1,3,1.7244892
0.94873339,0.5890227,0,3,2.4003344
0.8825376,-0.55816382,0,4,0.87864804
0.94407761,0.89062268,0,4,3.0432782
0.089425854,0.65634197,0,5,-0.66002858
0.75054449,0.54011548,1,5,3.3516483
0.94849831,0.44556531,0,6,2.30005
0.11216265,0.14324416,0,6,0.083372846
0.4809064,0.38506919,1,7,0.64902079
0.97634476,0.98530376,0,7,4.568819
0.12549753,0.30466467,0,8,-1.4315917
0.76550257,-0.88776761,0,8,-0.000245392
0.035859343,0.93042952,0,9,0.13590342
0.07023593,-0.29559019,1,9,1.1654385
0.21017867,-0.55742657,0,10,-1.6294535
0.66160065,-0.29942393,0,10,0.64991236
0.20113812,-0.94499987,1,11,-1.8886135
0.98748773,0.16913821,0,11,1.4320672
0.29853833,0.43535236,1,12,0.4414418
0.89697647,0.33077887,0,12,2.3143897
0.081194654,0.7042315,1,13,-0.030457173
0.66021401,-0.27009213,0,13,1.1683085
0.62838489,-0.60704893,0,14,0.41088524
0.019561933,-0.38709012,0,14,-1.6940004
0.20679154,-0.78589845,0,15,-1.7513248
0.80979329,0.24391337,0,15,1.9008031
0.78005564,-0.52315044,0,16,2.1916041
0.015391795,0.63004607,0,16,-2.7459426
0.57474899,-0.25627312,1,17,0.4398714
0.65514344,-0.15299399,1,17,0.59015149
0.53569984,-0.45338774,1,18,1.8258851
0.39990199,0.13306952,1,18,1.4106579
0.35669598,0.43443343,0,19,-0.55914694
0.73337328,0.38187853,0,19,-0.064098328
0.57951212,-0.32964966,1,20,0.073770374
0.83145446,0.81678379,1,20,4.7524481
0.22583948,-0.80919677,1,21,0.09641093
0.75904256,-0.95926529,1,21,1.1268817
0.96053654,-0.58743733,0,22,0.7179516
0.88264483,0.78864771,1,22,3.8791499
0.32789275,0.44691771,0,23,-1.8782723
0.35131833,-0.52626187,0,23,-1.4922243
0.3247132,0.34755409,0,24,-2.6851292
0.05225784,0.15669341,1,24,-0.46975774
0.70219648,-0.12605502,1,25,2.0233207
0.88868105,-0.091947168,1,25,1.1717873
0.91276801,-0.96712178,1,26,1.1909986
0.70126975,0.6814422,0,26,1.4830441
0.017440306,-0.90417087,1,27,-1.6463989
0.72831845,0.020179292,0,27,1.3443004
0.15900709,-0.64121455,0,28,-1.0143683
0.24487182,0.72507501,1,28,0.90681148
0.30630669,0.59190786,1,29,1.7733523
0.10421273,-0.21106586,1,29,-0.33508086
0.20672686,-0.51480603,1,30,-1.8659561
0.8505134,-0.78567082,0,30,0.87664384
0.58766103,0.65287513,1,31,0.52797282
0.58383894,-0.54542941,1,31,-0.17108896
0.65022355,0.73609895,1,32,3.115921
0.42198497,-0.71088451,0,32,-0.57508308
0.70491189,0.6895057,0,33,1.5374519
0.071344234,0.37579367,0,33,-1.5854657
0.97623825,0.44707918,0,34,1.7642246
0.47075298,-0.82960725,0,34,1.3178399
0.9566074,-0.21677405,0,35,0.61191201
0.058897998,-0.53394592,1,35,-0.34281677
0.40200615,-0.46084335,0,36,-1.1001569
0.2779583,-0.10050619,0,36,-1.0352064
0.2021227,0.08428333,1,37,0.21748924
0.30038527,0.082574509,1,37,0.73726147
0.93020153,0.93091577,1,38,2.7696769
0.32152769,0.21701169,1,38,1.8238559
0.006623633,0.23645075,1,39,-2.4362729
0.62706774,-0.9331581,0,39,-0.8353591
0.008933187,0.77390897,1,40,-0.60251904
0.39611486,0.87404519,0,40,0.52286541
0.5508492,-0.65617424,0,41,-0.85957956
0.48747838,0.005933315,0,41,2.3244135
0.72111112,-0.60250455,1,42,1.5080234
0.68485385,0.16414794,1,42,1.6747837
0.33218616,0.28699943,0,43,-0.94362628
0.63436025,0.48484015,0,43,0.23543566
0.87052959,0.51442736,1,44,3.3908997
0.40434426,0.66738755,1,44,2.6278458
0.12353604,-0.36896944,0,45,-1.5728955
0.43987584,0.50226068,0,45,0.5408175
0.45754117,-0.61491835,0,46,-0.47746336
0.40562657,0.79312164,1,46,1.229445
0.10792727,-0.5831784,1,47,-1.0912091
0.7559011,-0.93746322,1,47,2.0928621
0.9501313,0.92539883,0,48,3.6497064
0.17307192,0.95439178,0,48,-1.0220765
0.15291964,0.51779342,0,49,0.31885779
0.91495323,0.18147504,0,49,0.65457451
0.68095523,0.16232663,0,50,1.0488807
0.32509267,0.95154089,0,50,0.66432071
0.59506732,-0.94480473,1,51,1.1827667
0.88006371,-0.60990661,0,51,1.0223879
0.9440667,0.96005982,1,52,5.0076375
0.36174449,-0.80385923,0,52,0.15266031
0.29708999,0.54861218,0,53,-1.4028969
0.17099117,0.40428087,0,53,-2.3318851
0.83999676,-0.46095777,0,54,0.26900417
0.32561076,-0.079920307,0,54,-0.36668539
0.6692844,-0.70302951,1,55,-0.16922367
0.2747885,0.94284976,0,55,0.044145118
0.42323855,0.32092202,0,56,2.2802815
0.14427297,0.98157668,0,56,-0.6444754
0.75956315,-0.73855883,1,57,1.8726923
0.53215849,0.98618817,1,57,2.0327029
0.20126833,0.23550992,1,58,1.0435896
0.99413818,-0.76199186,1,58,2.4067011
0.43534046,-0.51522934,1,59,1.6321332
0.021285385,0.56518167,1,59,-2.7174134
0.74464506,0.77747321,0,60,2.1431701
0.091831811,0.79107267,1,60,-0.52777535
0.75269461,-0.14335322,0,61,0.82998919
0.62716198,0.71699911,0,61,1.5717057
0.66389996,0.23509865,0,62,1.3230971
0.18422593,-0.089167252,1,62,-0.96660388
0.28977874,0.32568467,0,63,-3.0827968
0.54863846,0.4033232,0,63,-0.11368093
0.58717006,-0.71500134,1,64,-0.5393275
0.24046357,0.11273532,0,64,0.45936054
0.22399688,0.8423242,0,65,-0.70470643
0.56216753,0.93263084,0,65,2.4232824
0.54828638,0.30201012,1,66,3.3004444
0.88251519,0.23060323,0,66,1.3960047
0.31095549,-0.35925317,1,67,-1.1123866
0.25469995,-0.063014664,0,67,-2.5065582
0.69280654,-0.77813393,1,68,1.0663408
0.10838759,-0.51066989,1,68,-0.069528878
0.37907308,0.10941017,1,69,1.7488458
0.3164629,-0.093110807,0,69,-1.0126263
0.8641324,-0.60863972,0,70,0.44088271
0.14159387,0.31504902,1,70,-0.33482784
0.45886904,-0.16611153,0,71,1.8294244
0.96046239,-0.97764713,0,71,4.7050376
0.49840152,-0.26136807,1,72,1.2193501
0.87265837,0.049316429,0,72,-0.005203582
0.042136941,-0.34571257,0,73,-1.9204247
0.81716537,-0.36223543,0,73,0.20719248
0.35342956,0.37585714,0,74,-1.729658
0.75440234,-0.21622409,1,74,2.2425456
0.76651895,-0.090934865,0,75,0.31057578
0.41964811,-0.8753323,1,75,1.8465464
0.11324778,0.59001708,1,76,0.11331678
0.4035936,0.87475288,0,76,1.5183979
0.70566434,-0.72898173,0,77,1.3366308
0.5731504,0.68072218,0,77,0.27002591
0.099119931,0.83410287,1,78,-1.2717578
0.99256897,0.41521528,1,78,3.1540647
0.37085637,0.49065864,1,79,1.5545485
0.61262918,-0.058654401,1,79,4.0746546
0.89291918,-0.96042669,0,80,0.71754754
0.56029755,0.27054906,1,80,3.1340137
0.47062966,0.10356265,1,81,0.33508068
0.027504068,-0.99687696,1,81,-3.344152
0.42805609,-0.23747258,1,82,2.4030728
0.67003983,-0.60164148,1,82,1.7124081
0.48257583,-0.84894252,1,83,1.2513213
0.25556746,-0.53283238,0,83,-0.93699771
0.43846989,0.59844899,0,84,1.0477906
0.31582925,0.28715596,0,84,-0.47964275
0.093595505,0.38003328,1,85,-0.15322289
0.02711774,0.82922775,0,85,-1.3055483
